역명,노선명,노선개수,대합실면적,승강장면적,지하상가 개수,역내편의점 개수,화장실개수,에스컬레이터 대수,엘리베이터 대수,자전거보관소 대수,물품보관함 개수,소화기 대수,스마트도서관 개수,평균승차총승객수,평균하차총승객수,평균역이용자수
마들,7호선,1,7494,2100,18,1,1,8,8,249,13,39,0,6166,5889,24259
먹골,7호선,1,7294,1971,6,1,1,6,6,105,9,42,1,6459,6661,19547
면목,7호선,1,4739,1847,10,1,1,6,6,83,13,40,0,1,0,28270
반포,7호선,1,10349,2052,11,1,1,6,6,55,9,47,0,15516,15629,12056
보라매,7호선,1,6682,1740,3,1,1,4,4,47,13,34,0,11520,11230,13120
사가정,7호선,1,4314,1977,7,1,1,10,10,120,13,36,1,1,0,31146
상도,7호선,1,6629,1789,3,1,1,11,11,26,9,25,0,16844,16248,22750
상봉,7호선,1,7251,1755,5,1,1,6,6,106,21,48,1,12167,11924,33093
수락산,7호선,1,8135,2353,2,1,1,7,7,210,9,40,0,13486,13490,24091
숭실대입구,7호선,1,4425,2095,4,1,1,12,12,10,13,47,0,14205,13603,26976
신대방삼거리,7호선,1,6945,1787,5,1,1,12,12,57,13,40,0,1,0,27808
신풍,7호선,1,5177,2749,2,1,1,4,4,173,13,35,0,10779,10058,20837
어린이대공원,7호선,1,7808,1870,,1,1,6,6,229,13,49,0,15606,15789,31396
온수,7호선,1,8575,2711,3,1,1,16,16,67,13,49,0,9259,8562,17822
용마산,7호선,1,4410,2032,1,1,1,8,8,30,9,37,1,5601,5525,11126
이수,7호선,1,12110,2724,9,1,2,23,23,0,17,,0,15850,15298,31149
자양,7호선,1,3301,2466,,0,,4,4,0,,30,0,10147,9920,20067
장승배기,7호선,1,7239,1872,1,1,1,14,14,38,9,34,0,8853,8623,17476
장암,7호선,1,504,999,,0,1,,,110,,13,0,2626,1248,3874
중계,7호선,1,7103,2042,4,1,1,10,10,258,13,26,0,13976,12861,26838
중곡,7호선,1,4291,1631,2,1,1,4,4,73,9,42,0,10398,9789,20187
중화,7호선,1,7020,1909,10,1,1,6,6,145,13,39,1,10196,9937,20134
천왕,7호선,1,3516,1791,1,1,1,6,6,440,9,34,1,10802,10355,21158
철산,7호선,1,5354,2051,7,1,1,6,6,376,17,27,1,20415,20659,41074
철산,7호선,1,5354,2051,7,1,1,6,6,376,17,27,1,17201,18739,41074
청담,7호선,1,14394,2225,7,1,1,16,16,113,26,84,1,1,0,35941
태릉입구,7호선,2,8388,2667,5,1,1,8,8,176,13,62,0,8804,8283,17088
하계,7호선,1,7160,2061,8,1,1,6,6,125,13,39,1,17368,16231,33599
