역명,노선명,mean,max,min,노선개수,대합실면적,승강장면적,지하상가 개수,역내편의점 개수,화장실개수,에스컬레이터 대수,엘리베이터 대수,자전거보관소 대수,물품보관함 개수,소화기 대수,스마트도서관 개수
영등포시장,5호선,22499,35299,6291,1,8386.0,3054.0,,1.0,1.0,8.0,8.0,63.0,9.0,51,0.0
오금,5호선,6935,9450,1741,2,5097.0,2570.0,,1.0,1.0,7.0,7.0,0.0,,37,0.0
오목교,5호선,41677,54336,10574,1,9946.0,2458.0,44.0,1.0,1.0,10.0,10.0,291.0,17.0,54,1.0
올림픽공원,5호선,10320,21282,2357,2,4377.0,2121.0,,1.0,1.0,4.0,4.0,0.0,38.0,30,0.0
왕십리,5호선,9643,12221,3285,2,9949.0,3268.0,10.0,1.0,1.0,8.0,8.0,32.0,26.0,46,0.0
우장산,5호선,28028,35902,9121,1,3634.0,1990.0,4.0,1.0,1.0,4.0,4.0,49.0,13.0,33,1.0
을지로4가,5호선,12038,16057,2397,2,9382.0,2110.0,5.0,1.0,1.0,11.0,11.0,0.0,,46,0.0
장한평,5호선,36264,51161,10323,1,6192.0,2260.0,4.0,1.0,1.0,4.0,4.0,262.0,13.0,36,0.0
종로3가,5호선,30640,42842,14345,3,6661.0,2526.0,1.0,1.0,1.0,10.0,10.0,0.0,,41,0.0
천호,5호선,37938,46473,13038,2,9920.0,3267.0,26.0,1.0,1.0,16.0,16.0,535.0,39.0,21,0.0
청구,5호선,7191,9419,2643,2,4014.0,1914.0,3.0,1.0,,,,28.0,9.0,31,0.0
충정로,5호선,8658,12744,1675,2,7547.0,1920.0,4.0,1.0,1.0,4.0,4.0,58.0,9.0,53,0.0
하남검단산,5호선,12901,15888,6669,1,9518.0,2633.0,,0.0,1.0,20.0,20.0,50.0,,84,0.0
하남시청,5호선,15889,21327,6555,1,6496.0,2354.0,,0.0,1.0,28.0,28.0,70.0,,45,0.0
하남풍산,5호선,8711,10941,2685,1,5956.0,2069.0,,0.0,1.0,24.0,24.0,82.0,,36,0.0
행당,5호선,14559,18928,5531,1,4686.0,2180.0,3.0,1.0,1.0,8.0,8.0,42.0,9.0,38,0.0
화곡,5호선,52351,69005,20195,1,7144.0,1982.0,6.0,1.0,1.0,4.0,4.0,196.0,17.0,28,0.0
고려대,6호선,16706,27722,5610,1,5721.0,2425.0,2.0,1.0,1.0,12.0,12.0,97.0,13.0,43,1.0
공덕,6호선,35326,46290,9661,2,5722.0,4567.0,12.0,1.0,1.0,6.0,6.0,0.0,21.0,,0.0
광흥창,6호선,17444,25551,4984,1,5693.0,1982.0,,1.0,1.0,9.0,9.0,65.0,9.0,30,0.0
구산,6호선,13931,20747,5666,1,1743.0,1661.0,2.0,1.0,1.0,4.0,4.0,126.0,9.0,20,0.0
녹사평,6호선,10533,15151,4850,1,7424.0,2042.0,,1.0,1.0,13.0,13.0,54.0,21.0,40,0.0
대흥,6호선,18120,25730,4447,1,7001.0,2146.0,1.0,1.0,1.0,6.0,6.0,22.0,9.0,29,0.0
독바위,6호선,5520,7443,2551,1,2545.0,1363.0,,1.0,1.0,8.0,8.0,7.0,9.0,23,0.0
돌곶이,6호선,18719,25917,6861,1,4274.0,2160.0,6.0,1.0,1.0,4.0,4.0,123.0,9.0,29,1.0
동묘앞,6호선,17302,22427,8762,2,11257.0,2743.0,1.0,1.0,1.0,12.0,12.0,29.0,17.0,42,0.0
디지털미디어시티,6호선,28606,42137,8360,1,5694.0,3295.0,6.0,1.0,2.0,8.0,8.0,214.0,13.0,46,1.0
마포구청,6호선,26615,36306,9394,1,6302.0,2121.0,4.0,1.0,2.0,12.0,12.0,415.0,9.0,33,0.0
망원,6호선,31787,40390,12177,1,3618.0,1902.0,4.0,1.0,1.0,2.0,2.0,221.0,18.0,28,0.0
버티고개,6호선,4170,5610,1600,1,3648.0,2629.0,,0.0,1.0,4.0,4.0,7.0,9.0,28,0.0
보문,6호선,14807,20363,5463,1,4603.0,1983.0,3.0,1.0,1.0,2.0,2.0,21.0,9.0,25,1.0
봉화산,6호선,16250,21229,5940,1,6837.0,2962.0,1.0,1.0,1.0,4.0,4.0,80.0,9.0,35,0.0
불광,6호선,9112,11743,3367,2,5039.0,1397.0,1.0,1.0,1.0,12.0,12.0,116.0,9.0,29,0.0
삼각지,6호선,14268,19386,4682,2,8675.0,2453.0,3.0,1.0,1.0,4.0,4.0,47.0,9.0,48,0.0
상수,6호선,21635,29258,8643,1,4181.0,2012.0,5.0,1.0,1.0,10.0,10.0,30.0,13.0,35,0.0
상월곡,6호선,12087,17955,4565,1,7146.0,2382.0,,1.0,1.0,6.0,6.0,49.0,9.0,32,0.0
새절,6호선,23757,35507,9828,1,4568.0,2421.0,2.0,1.0,1.0,4.0,4.0,176.0,9.0,36,0.0
석계,6호선,24241,30724,9841,1,9763.0,3067.0,4.0,1.0,2.0,14.0,14.0,222.0,9.0,58,1.0
신내,6호선,1,3,1,1,106.0,752.0,,0.0,,2.0,2.0,0.0,,12,0.0
신당,6호선,17055,22651,4402,2,15210.0,2984.0,3.0,1.0,1.0,14.0,14.0,46.0,9.0,42,0.0
안암,6호선,24417,42320,5047,1,6522.0,1777.0,3.0,1.0,2.0,6.0,6.0,24.0,13.0,34,1.0
약수,6호선,7097,9271,2417,2,7183.0,1909.0,,1.0,1.0,11.0,11.0,0.0,9.0,38,0.0
역촌,6호선,7941,10962,3548,1,2192.0,1926.0,,0.0,1.0,6.0,6.0,148.0,9.0,26,1.0
연신내,6호선,3,19,1,2,3241.0,2419.0,1.0,1.0,1.0,6.0,6.0,0.0,,25,0.0
월곡,6호선,22651,32972,7830,1,4663.0,1882.0,3.0,1.0,1.0,12.0,12.0,132.0,13.0,49,1.0
월드컵경기장,6호선,13768,101051,4899,1,7829.0,3376.0,,1.0,2.0,12.0,12.0,168.0,13.0,49,0.0
응암,6호선,33821,45685,14729,1,4799.0,3351.0,5.0,1.0,1.0,4.0,4.0,162.0,13.0,33,1.0
이태원,6호선,24629,38180,15881,1,4863.0,1934.0,1.0,1.0,1.0,4.0,4.0,10.0,51.0,30,0.0
증산,6호선,18845,27844,8329,1,3735.0,1987.0,3.0,1.0,1.0,6.0,6.0,80.0,9.0,30,0.0
창신,6호선,6227,8748,2450,1,4169.0,2040.0,,1.0,1.0,3.0,3.0,20.0,9.0,21,0.0
청구,6호선,7295,9670,2570,2,2080.0,2429.0,,0.0,1.0,10.0,10.0,0.0,,18,0.0
태릉입구,6호선,12112,30586,4681,2,6242.0,3288.0,9.0,0.0,1.0,17.0,17.0,0.0,,26,0.0
한강진,6호선,21652,41339,7542,1,4996.0,2444.0,2.0,1.0,1.0,4.0,4.0,20.0,13.0,31,0.0
합정,6호선,27095,34364,10022,2,6510.0,2435.0,11.0,1.0,1.0,16.0,16.0,250.0,25.0,49,1.0
화랑대,6호선,20506,28706,6650,1,7497.0,2610.0,5.0,1.0,1.0,4.0,4.0,225.0,13.0,40,0.0
효창공원앞,6호선,13684,19808,4269,1,4771.0,2022.0,2.0,1.0,1.0,6.0,6.0,24.0,9.0,28,0.0
가산디지털단지,7호선,75960,110590,12075,1,10116.0,2434.0,3.0,1.0,1.0,18.0,18.0,110.0,26.0,43,0.0
